,Education And Training
0,"Doctor of Philosophy Level Degree in Natural Sciences,  Friedrich-Alexander University of Erlangen-Nuremberg   2008"
1,"Bachelor's Level Degree in Biology,  Friedrich Schiller University Jena   2002"
