,Investigator On
0,Inhibitory Neural Circuits in Dentate Function  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
1,RII Track-2 FEC: The Creation of Next Generation Tools for Neuroscience - Noninvasive Radioluminescence Approaches to Optogenetics  awarded by  Clemson University
