,Education And Training
0,"Doctor of Philosophy in Agriculture,  Auburn University   1996"
1,"Master of Sciences or Mathematics in Agriculture, Agriculture Operations, and Related Sciences,  Auburn University   1994"
2,"Doctor of Veterinary Medicine,    1987"
