,Education And Training
0,"Oklahoma university health sciences ctr, Internship"
1,"Oklahoma university health sciences ctr, Residency"
2,"Oklahoma university health sciences ctr, Postdoctoral Fellowship"
3,"Doctor of Medicine,    1982"
