,Education And Training
0,"Doctor of Philosophy,  University of Alabama   2009"
1,"Doctor of Philosophy,    2009"
2,"Master of Education,  University of Alabama   2005"
3,"Master of Science,    2005"
4,"Bachelor's Degree,    1996"
