,Teaching Activities
0,NPN686L - Practicum II: Psychiatric NP (Spring Term 2020)  2020
1,NPN685L - Practicum I: Psychiatric NP (Fall Term 2019)  2019
2,NPN692L - Residency: Psychiatric NP (Summer Term 2019)  2019
3,NPN686L - Practicum II: Psychiatric NP (Spring Term 2019)  2019
4,NPN685L - Practicum I: Psychiatric NP (Fall Term 2018)  2018
5,NPN692L - Residency: Psychiatric NP (Summer Term 2018)  2018
