,Education And Training
0,"Doctor of Education in Elementary Education and Teaching,  University of Alabama   1998"
1,"Education Specialist in Early Childhood Education and Teaching,  University of Alabama at Birmingham   1996"
2,"Master of Education in Early Childhood Education and Teaching,  University of Alabama at Birmingham   1992"
