,Principal Investigator On
0,Chimeric Adenoviruses for an Improved HIV Vaccine  awarded by  National Institute of Allergy and Infectious Diseases/NIH/DHHS
1,"Development of Chagas Disease Vaccines Using Adenovirus ""Antigen Capsid-Incorporation"" Strategy  awarded by  American Association of Immunologists"
