,Education And Training
0,"Master of Science in Orthodontics Residency Program,  University of Michigan   2020"
1,"Doctor of Dental Medicine in Dentistry,  University of Alabama at Birmingham   2017"
2,"Bachelor of Science or Mathematics in Accounting,  University of Alabama at Birmingham   2012"
