,Education And Training
0,"Doctor of Philosophy in Kinesiology and Exercise Science,  University of Iowa   1989"
1,"Master of Science in Physical Therapy / Therapist,  Duke University   1983"
2,"Bachelor of Science or Mathematics in Physics,  University of Rochester   1981"
