,Teaching Activities
0,NUR447L - Synthesis and Assim Practicum (Spring Term 2018)  2018
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2017)  2017
2,NUR447L - Synthesis and Assim Practicum (Spring Term 2017)  2017
3,NUR447L - Synthesis and Assim Practicum (Spring Term 2016)  2016
4,NUR447L - Synthesis and Assim Practicum (Summer Term 2015)  2015
5,NUR447L - Synthesis and Assim Practicum (Spring Term 2015)  2015
