,Teaching Activities
0,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2020)  2020
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2020)  2020
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
4,NUR553L - Nursing Practicum Women/Child (Summer Term 2019)  2019
5,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2019)  2019
6,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2018)  2018
7,NUR553L - Nursing Practicum Women/Child (Summer Term 2018)  2018
8,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Spring Term 2018)  2018
