,Teaching Activities
0,NA745 - Professional Aspects (Fall Term 2020)  2020
1,NA745 - Professional Aspects (Fall Term 2019)  2019
2,NUR729 - EBP Design and Translation (Summer Term 2019)  2019
3,NA745 - Professional Aspects (Fall Term 2018)  2018
