,Teaching Activities
0,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
1,NUR447L - Synthesis and Assim Practicum (Spring Term 2020)  2020
2,NUR447L - Synthesis and Assim Practicum (Spring Term 2019)  2019
3,NUR447L - Synthesis and Assim Practicum (Spring Term 2018)  2018
4,NUR447L - Synthesis and Assim Practicum (Spring Term 2015)  2015
