,Education And Training
0,"Doctor of Philosophy in Economics,  Wayne State University   2017"
1,"Master of Sciences or Mathematics in Economics,  Wayne State University   2015"
2,"Master of Sciences or Mathematics in Economics,    2008"
3,"Bachelor of Science or Mathematics in Economics,    2005"
