,Education And Training
0,"Doctor of Philosophy in Biology,  University of Alabama at Birmingham   2011"
1,"Master of Sciences or Mathematics in Biology,  University of Alabama at Birmingham   2005"
2,"Bachelor of Science or Mathematics in Biology,  University of Alabama at Birmingham   2003"
