,Education And Training
0,"Doctor of Philosophy in Public Health Education and Promotion,  University of Alabama at Birmingham   1997"
1,"Master of Science in Health and Physical Education / Fitness,  George Mason University   1989"
2,"Bachelor of Science or Mathematics in Health and Physical Education / Fitness,  Florida State University   1985"
