,Education And Training
0,"Doctor of Philosophy in Dentistry,  West Virginia University   1995"
1,"Master of Science in Microbiology,  West Virginia University   1973"
2,"Doctor of Dental Medicine in Dentistry,  University of Pennsylvania   1968"
