,Teaching Activities
0,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
1,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2019)  2019
2,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Fall Term 2016)  2016
3,NUR393L - Cncpts Matern Chld Hlth Nur Pr (Summer Term 2016)  2016
4,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2015)  2015
5,NUR508L - Clin Prac Chldbear/Chldrea Fam (Fall Term 2014)  2014
