,Year,Title,Altmetric
0,2015.0,Marijuana in the workplace: Guidance for occupational health professionals and employers: Joint guidance statement of the American Association of Occupational Health Nurses and the American College of Occupational and Environmental Medicine. Journal of Occupational and Environmental Medicine. 57:459-475.  2015  10.1097/JOM.0000000000000441,
1,2015.0,Marijuana in the workplace: Guidance for occupational health professionals and employers: Joint guidance statement of the American Association of Occupational Health Nurses and the American College of Occupational and Environmental Medicine. Workplace Health and Safety. 63:139-164.  2015  10.1177/2165079915581983,
2,2015.0,Reply to goldsmith-medical marijuana in the workforce. Journal of Occupational and Environmental Medicine. 57:e140.  2015  10.1097/JOM.0000000000000595,
3,,Environmental effects of air quality: The impact of air on asthma.. Journal of the Alabama Academy of Science.,
4,,Health Posters and Tipsheets to 4500+ City of Birmingham employees,
