,Teaching Activities
0,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2021)  2021
1,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2020)  2020
2,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2020)  2020
3,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2020)  2020
4,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
5,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
6,NUR389L - Cncpts Adult Hlth Nur II Prac (Fall Term 2019)  2019
7,NUR389L - Cncpts Adult Hlth Nur II Prac (Summer Term 2019)  2019
8,NUR327L - Concepts Adult Hlth Nur I Prac (Spring Term 2019)  2019
