,Education And Training
0,"Doctor of Philosophy in Psychology,  University of Iowa   1981"
1,"Master of Arts in Psychology,  University of Iowa   1978"
2,"Bachelor of Science or Mathematics in Psychology,  University of Iowa   1975"
