,Principal Investigator On
0,PGC-1alpha and GABAergic Dysfunction in Huntington Disease  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
1,"The Impact of Early Postnatal Hypoxia on the Transcriptional Regulation of Basal Ganglia Development  awarded by  Tourette Syndrome Association, Inc."
2,Transcriptional Regulation of Metabolism in Neurons  awarded by  National Institute of Neurological Disorders and Stroke/NIH/DHHS
3,Transcriptional Regulation of Metabolism in Schizophrenia  awarded by  National Institute of Mental Health/NIH/DHHS
4,Utilizing Transcriptional Pathways to Enhance Mitochondrial Health in Models of PD  awarded by  Fox (Michael J.) Foundation for Parkinson's Research
