,Principal Investigator On
0,A Review of Current Knowledge on the Safety of Gulf Seafood and Recommendations for Supplemental Testing  awarded by  ENVIRONMENTAL DEFENSE FUND
1,Education to Action: Supporting Youth Leadership in Environmental Health  awarded by  CITY OF BIRMINGHAM
2,Environmental Exposures Across Urban and Rural Communities in the Deep South  awarded by  National Institute of Environmental Health Sciences/NIH/DHHS
3,Extreme Heat Events- Evolving Risk Patterns in Urban and Rural Communities  awarded by  National Institute of Environmental Health Sciences/NIH/DHHS
4,"Nutrition-Toxicity Interactions in Daphnia pulex, Developing an Alternative Model Organism for Early Life Exposures  awarded by  International Life Sciences Institute"
