,Year,Title,Altmetric
0,2014,Effects of early life exposure to methylmercury in Daphnia pulex on standard and reduced food ration. Reproductive Toxicology. 49:219-225.  2014  10.1016/j.reprotox.2014.09.006,
1,2014,"Spatiotemporal association between birth outcomes and coke production and steel making facilities in Alabama, USA: A cross-sectional study  2014  10.1186/1476-069X-13-85",
2,2011,A review of seafood safety after the Deepwater Horizon blowout. Environmental Health Perspectives. 119:1062-1069.  2011  10.1289/ehp.1103507,
3,2011,Estimating the global public health implications of electricity and coal consumption. Environmental Health Perspectives. 119:821-826.  2011  10.1289/ehp.1002241,
