,Education And Training
0,"Indiana University Medical Center, Internship"
1,"Indiana University Medical Center, Residency"
2,"Indiana University Medical Center, Postdoctoral Fellowship"
3,"Johns Hopkins Hospital, Postdoctoral Fellowship"
4,"University of Maryland Medical System, Postdoctoral Fellowship"
5,"Doctor of Medicine,  University of Virginia   1997"
