,Education And Training
0,"Master of Arts in Development Economics and International Development,  Gallaudet University   2014"
1,"Doctor of Psychology in Clinical Psychology,  Gallaudet University   2014"
2,"Master of Arts in Psychology,  Gallaudet University   2009"
