,Principal Investigator On
0,Algorithms for Protein Superfamily Classification and Function Prediction  awarded by  National Center for Research Resources/NIH/DHHS
1,Enhancing Low-Oxygen Tolerance of Catfish Using Genomics and Genetics  awarded by  AUBURN UNIVERSITY
2,Next-Generation Bioinformatics for Next-Generation Sequencing  awarded by  Baylor College of Medicine
3,Whole Genome Mapping of Disease Resistance/Susceptibility-Associated SNPs in Catfish  awarded by  AUBURN UNIVERSITY
