,Year,Title,Altmetric
0,2008,Obese women show greater delay discounting than healthy-weight women. Appetite. 51:563-569.  2008  10.1016/j.appet.2008.04.010,
1,2006,Subdivisions of inferior temporal cortex in squirrel monkeys make dissociable contributions to visual learning and memory. Behavioral Neuroscience. 120:423-446.  2006  10.1037/0735-7044.120.2.423,
2,2002,Pulvinar and other subcortical connections of dorsolateral visual cortex in monkeys. Journal of Comparative Neurology. 450:215-240.  2002  10.1002/cne.10298,
3,2000,Intrinsic connections in the caudal subdivision of the dorsolateral visual area (DL(C)) in squirrel monkeys. Journal of Comparative Neurology. 420:52-69.  2000  10.1002/(SICI)1096-9861(20000424)420:1<52::AID-CNE4>3.0.CO;2-O,
