,Teaching Activities
0,NRM779 - Mxd Mthds Appl in Action Res (Summer Term 2021)  2021
1,NRM785 - Qual Res: Analysis and Interpr (Spring Term 2021)  2021
2,NRM785 - Qual Res: Analysis and Interpr (Spring Term 2020)  2020
3,NRM785 - Qual Res: Analysis and Interpr (Spring Term 2020)  2020
4,NRM779 - Mxd Mthds Appl in Action Res (Summer Term 2019)  2019
5,NRM785 - Qual Res: Analysis and Interpr (Spring Term 2019)  2019
