,Education And Training
0,"Doctor of Philosophy in Microbiology,  University of Alabama at Birmingham   2007"
1,"Master of Sciences or Mathematics in Biology / Biological Sciences,  Alabama State University   2001"
2,"Master of Education in Science Teacher Education / General Science Teacher Education,  Auburn University   1984"
