,Education And Training
0,"Doctor of Dental Medicine in Dentistry,  University of Alabama at Birmingham   1993"
1,"Master of Science in Pediatric Dentistry / Pedodontics,  University of Alabama at Birmingham   1987"
2,"Doctor of Philosophy,  University of Alabama at Birmingham   1977"
