,Education And Training
0,"Doctor of Philosophy in Biomedical Sciences,  University of Texas System : Arlington   1999"
1,"Master of Education in Exercise Physiology,  University of Houston System : main campus   1992"
2,"Bachelor of Science or Mathematics in Physiology, Pathology and Related Sciences,  University of Houston System : main campus   1990"
