,Principal Investigator On
0,COMPLETED - UAB Nutrition Obesity Research Center - NORC Core B - Genomics Core  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
1,Completed - Comprehensive Cancer Center Core Support Grant - Micro Array SF  awarded by  National Cancer Institute/NIH/DHHS
2,Completed - Comprehensive Genomics Shared Facility - Comprehensive Cancer Center Core Support Grant  awarded by  National Cancer Institute/NIH/DHHS
3,Training Interventions and Genetics of Exercise Response (TIGER)  awarded by  National Institute of Diabetes and Digestive and Kidney Diseases/NIH/DHHS
