,Education And Training
0,"Doctor of Philosophy in Agriculture, Agriculture Operations, and Related Sciences,  Auburn University   1992"
1,"Master's Level Degree in Veterinary Medicine,    1987"
2,"Bachelor's Level Degree in Veterinary Sciences / Veterinary Clinical Sciences,    1984"
