,Teaching Activities
0,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
1,NUR313L - Concepts Professional Nur Prac (Fall Term 2019)  2019
2,NUR313L - Concepts Professional Nur Prac (Spring Term 2019)  2019
3,NUR313L - Concepts Professional Nur Prac (Fall Term 2018)  2018
