,Teaching Activities
0,NUR447L - Synthesis and Assim Practicum (Summer Term 2021)  2021
1,NUR447L - Synthesis and Assim Practicum (Spring Term 2021)  2021
2,NUR447L - Synthesis and Assim Practicum (Spring Term 2020)  2020
3,NUR447L - Synthesis and Assim Practicum (Summer Term 2019)  2019
4,NUR447L - Synthesis and Assim Practicum (Spring Term 2019)  2019
5,NUR447L - Synthesis and Assim Practicum (Spring Term 2018)  2018
