,Teaching Activities
0,DENT3362 - Orthodontics Clinic I (Spring Term 2009)  2009
1,DENT2350 - Preclinical Orthodontics (Spring Term 2009)  2009
2,DENT4342 - Orthodontic Clinic II (Spring Term 2009)  2009
3,DENT3362 - Orthodontics Clinic I (Spring Term 2008)  2008
4,DENT2350 - Preclinical Orthodontics (Spring Term 2008)  2008
5,DENT4342 - Orthodontic Clinic II (Spring Term 2008)  2008
