,Education And Training
0,"Doctor of Dental Medicine in Dentistry,  University of Alabama at Birmingham   2005"
1,"Master of Science in Dental Clinical Sciences,  University of Alabama at Birmingham   1997"
2,"Doctor of Dental Science in Dentistry,    1991"
