,Education And Training
0,"Doctor of Philosophy in Statistics,  University of Alabama   2012"
1,"Master of Science in Statistics,  University of Alabama   2011"
2,"Master of Science in Industrial/Manufacturing Engineering,  University of Alabama   2007"
