,Teaching Activities
0,PG525 - Design and Analysis (Spring Term 2021)  2020 - 2021
1,BST612 - Inter Statistical Analysis II (Spring Term 2021)  2021
2,CD625 - Dsgn and Analy Clin Dental Res (Spring Term 2021)  2021
3,PUH250 - Biostatistics (Spring Term 2021)  2021
4,PG525 - Design and Analysis (Spring Term 2020)  2019 - 2020
