,Teaching Activities
0,NPN692L - Residency: Psychiatric NP (Summer Term 2021)  2021
1,NPN686L - Practicum II: Psychiatric NP (Spring Term 2021)  2021
2,NPN685L - Practicum I: Psychiatric NP (Fall Term 2020)  2020
