,Year,Title,Altmetric
0,2013,XSpatial and temporal mapping of de novo mutations in schizophrenia to a fetal prefrontal cortical network. Cell. 154.  2013  10.1016/j.cell.2013.06.049,
1,2012,Heritability of functioning in families with schizophrenia in relation to neurocognition. Schizophrenia Research. 139:105-109.  2012  10.1016/j.schres.2012.04.015,
