,Education And Training
0,"University of Texas Medical Branch, Internship"
1,"University of Texas Medical Branch, Residency"
2,"University of Texas Medical Branch, Postdoctoral Fellowship"
3,"Doctor of Medicine,  The University of Texas Medical Branch   1990"
