,Principal Investigator On
0,The Efficacy Of A Visualizing Reading Intervention On Improving The Brain's Reading Network In Children With Autism  awarded by  National Institute on Deafness & Other Communication Disorders/NIH/DHHS
1,The Impact of Language Remediation on Brain Functioning Autism  awarded by  LINDAMOOD-BELL
