,Year,Title,Altmetric
41,2015,Aberrant functioning of the theory-of-mind network in children and adolescents with autism. Molecular Autism. 6.  2015  10.1186/s13229-015-0052-x,
42,2015,Language and motor cortex response to comprehending accidental and intentional action sentences. Neuropsychologia. 77:158-164.  2015  10.1016/j.neuropsychologia.2015.08.020,
43,2015,Changes in intrinsic connectivity of the brain's reading network following intervention in children with autism. Human Brain Mapping. 36:2965-2979.  2015  10.1002/hbm.22821,
44,2015,"Multimodal neuroimaging based classification of autism spectrum disorder using anatomical, neurochemical, and white matter correlates. Cortex. 66:46-59.  2015  10.1016/j.cortex.2015.02.008",
45,2015,The effect of medial temporal lobe epilepsy on visual memory encoding. Epilepsy and Behavior. 46:173-184.  2015  10.1016/j.yebeh.2015.03.006,
46,2015,Motor learning in individuals with autism spectrum disorder: Activation in superior parietal lobule related to learning and repetitive behaviors  2015  10.1002/aur.1403,
47,2015,Anatomical likelihood estimation meta-analysis of grey and white matter anomalies in autism spectrum disorders. NeuroImage: Clinical. 7:525-536.  2015  10.1016/j.nicl.2014.11.004,
48,2014,Attribution of emotions to body postures: An independent component analysis study of functional connectivity in autism. Human Brain Mapping. 35:5204-5218.  2014  10.1002/hbm.22544,
49,2014,Enhanced parietal cortex activation during location detection in children with autism. Journal of Neurodevelopmental Disorders. 6.  2014  10.1186/1866-1955-6-37,
50,2014,Brain connectivity in autism. Frontiers in Human Neuroscience. 8.  2014  10.3389/fnhum.2014.00349,
51,2014,Differential role of temporoparietal junction and medial prefrontal cortex in causal inference in autism: An independent component analysis. Neuroscience Letters. 568:50-55.  2014  10.1016/j.neulet.2014.03.051,
52,2014,The implications of brain connectivity in the neuropsychology of autism. Neuropsychology Review. 24:16-31.  2014  10.1007/s11065-014-9250-0,
53,2014,Functional brain connectivity in a child with autism with an enlarged cavum septum pellucidum. Neuropsychiatry. 4:23-25.  2014  10.2217/npy.13.88,
54,2014,Functional brain networks and white matter underlying theory-of-mind in autism. Social Cognitive and Affective Neuroscience. 9:98-105.  2014  10.1093/scan/nss106,
55,2014,"Surface-based morphometry of the cortical architecture of autism spectrum disorders: Volume, thickness, area, and gyrification. Neuropsychologia. 62:1-10.  2014  10.1016/j.neuropsychologia.2014.07.001",
56,2014,The role of mirroring and mentalizing networks in mediating action intentions in autism. Molecular Autism. 5.  2014  10.1186/2040-2392-5-50,
57,2013,"The local, global, and neural aspects of visuospatial processing in autism spectrum disorders. Neuropsychologia. 51:2995-3003.  2013  10.1016/j.neuropsychologia.2013.10.013",
58,2013,Identification of neural connectivity signatures of autism using machine learning. Frontiers in Human Neuroscience. 2013  10.3389/fnhum.2013.00670,
59,2013,Advancing our understanding of the brain in autism: Contribution of functional MRI and diffusion tensor imaging. Imaging in Medicine. 5:453-465.  2013  10.2217/iim.13.46,
60,2013,An fMRI investigation of working memory and its relationship with cardiorespiratory fitness in pediatric posterior fossa tumor survivors who received cranial radiation therapy  2013  10.1002/pbc.24331,
61,2012,"""How to do things with Words"": Role of motor cortex in semantic representation of action words. Neuropsychologia. 50:3403-3409.  2012  10.1016/j.neuropsychologia.2012.09.006",
62,2012,Differential Deactivation during Mentalizing and Classification of Autism Based on Default Mode Network Connectivity. PLoS ONE. 7.  2012  10.1371/journal.pone.0050064,
63,2012,"""The archeologist's career ended in ruins"": Hemispheric differences in pun comprehension in autism. NeuroImage. 62:77-86.  2012  10.1016/j.neuroimage.2012.04.034",
64,2012,Cardiorespiratory fitness in survivors of pediatric posterior fossa tumor. Journal of Pediatric Hematology/Oncology. 34.  2012  10.1097/MPH.0b013e3182661996,
65,2012,Brain responses mediating idiom comprehension: Gender and hemispheric differences. Brain Research. 1467:18-26.  2012  10.1016/j.brainres.2012.05.031,
66,2012,Autism as a neural systems disorder: A theory of frontal-posterior underconnectivity. Neuroscience and Biobehavioral Reviews. 36:1292-1313.  2012  10.1016/j.neubiorev.2012.02.007,
67,2012,Neural substrates of interpreting actions and emotions from body postures. Social Cognitive and Affective Neuroscience. 7:446-456.  2012  10.1093/scan/nsr022,
