,Education And Training
0,"University of Pittsburgh, Internship"
1,"University of Pittsburgh, Residency"
2,"University of Pittsburgh, Postdoctoral Fellowship"
3,"University of Texas Health Science Center, Postdoctoral Fellowship"
4,"Doctor of Medicine,  Thomas Jefferson University   1985"
