,Education And Training
0,"UAB Hospital, Internship"
1,"UAB Hospital, Residency"
2,"Doctor of Medicine,  University of Alabama at Birmingham   2008"
3,"Doctor of Dental Medicine in Dentistry,  University of Alabama at Birmingham   2005"
