,Education And Training
0,"Doctor of Dental Medicine in Dentistry,  University of Alabama at Birmingham   1987"
1,"Doctor of Philosophy in Biochemistry,  University of Alabama at Birmingham   1974"
2,"Master of Science in Biochemistry,  Auburn University   1968"
