,Education And Training
0,"Doctor of Philosophy in Folklore Studies,  University of Pennsylvania   1999"
1,"Master of Arts in Asian Studies / Civilization,  University of Pennsylvania   1996"
2,"Bachelor of Arts in Chinese Language and Literature,  University of Wisconsin-Madison   1990"
