,Investigator On
0,"Diabetes and Periodontics Trial University of Alabama, Birmingham Clinical Site  awarded by  State University of New York at Stony Brook"
1,"Private Grant  awarded by  BIOHORIZONS IMPLANT SYSTEMS, INC."
2,"Private Grant  awarded by  SUNSTAR AMERICAS, INC."
3,Private Grant  awarded by  STRAUMANN
4,"Private Grant  awarded by  ORTHOACCEL TECHNOLOGIES, INC."
