,Education And Training
0,"Doctor of Psychology in Clinical Psychology,  Mercer University   2018"
1,"Master of Sciences or Mathematics in Clinical Psychology,  Mercer University   2016"
2,"Master of Arts in Clinical Psychology,  University of Central Florida   2012"
