,Education And Training
0,"Doctor of Dental Medicine in Dentistry,  University of Alabama at Birmingham   2019"
1,"Master of Science in Biomedical Sciences,  Philadelphia College of Osteopathic Medicine   2015"
2,"Bachelor of Science or Mathematics in Spanish Language and Literature,  University of Alabama   2012"
